20270001/1;1;10001;20001;30001;40001
20270014/12;58344;68344;78344;88344;98344
20270015/1;15;10015;20015;30015;40015
20270015/2;1681;11681;21681;31681;41681
20270015/3;3347;13347;23347;33347;43347
20270015/4;5013;15013;25013;35013;45013
20270015/5;6679;16679;26679;36679;46679
20270015/6;8345;18345;28345;38345;48345
20270015/7;50015;60015;70015;80015;90015
20270015/8;51681;61681;71681;81681;91681
20270015/9;53347;63347;73347;83347;93347
20270015/10;55013;65013;75013;85013;95013
20270015/11;56679;66679;76679;86679;96679
20270015/12;58345;68345;78345;88345;98345
20270016/1;16;10016;20016;30016;40016
20270016/2;1682;11682;21682;31682;41682
20270016/3;3348;13348;23348;33348;43348
20270016/4;5014;15014;25014;35014;45014
20270016/5;6680;16680;26680;36680;46680
20270016/6;8346;18346;28346;38346;48346
20270016/7;50016;60016;70016;80016;90016
20270016/8;51682;61682;71682;81682;91682
20270016/9;53348;63348;73348;83348;93348
20270016/10;55014;65014;75014;85014;95014
20270016/11;56680;66680;76680;86680;96680
20270016/12;58346;68346;78346;88346;98346
20270017/1;17;10017;20017;30017;40017
20270017/2;1683;11683;21683;31683;41683
20270017/3;3349;13349;23349;33349;43349
20270017/4;5015;15015;25015;35015;45015
20270017/5;6681;16681;26681;36681;46681
20270017/6;8347;18347;28347;38347;48347
20270017/7;50017;60017;70017;80017;90017
20270017/8;51683;61683;71683;81683;91683
20270017/9;53349;63349;73349;83349;93349
20270017/10;55015;65015;75015;85015;95015
20270017/11;56681;66681;76681;86681;96681
20270017/12;58347;68347;78347;88347;98347
20270018/1;18;10018;20018;30018;40018
20270018/2;1684;11684;21684;31684;41684
20270018/3;3350;13350;23350;33350;43350
20270018/4;5016;15016;25016;35016;45016
20270018/5;6682;16682;26682;36682;46682
20270018/6;8348;18348;28348;38348;48348
20270018/7;50018;60018;70018;80018;90018
20270018/8;51684;61684;71684;81684;91684
20270018/9;53350;63350;73350;83350;93350
20270018/10;55016;65016;75016;85016;95016
20270018/11;56682;66682;76682;86682;96682
20270018/12;58348;68348;78348;88348;98348
20270019/1;19;10019;20019;30019;40019
20270019/2;1685;11685;21685;31685;41685
20270019/3;3351;13351;23351;33351;43351
20270019/4;5017;15017;25017;35017;45017
20270019/5;6683;16683;26683;36683;46683
20270019/6;8349;18349;28349;38349;48349
20270019/7;50019;60019;70019;80019;90019
20270019/8;51685;61685;71685;81685;91685
20270019/9;53351;63351;73351;83351;93351
20270019/10;55017;65017;75017;85017;95017
20270019/11;56683;66683;76683;86683;96683
20270019/12;58349;68349;78349;88349;98349
20270020/1;20;10020;20020;30020;40020
20270020/2;1686;11686;21686;31686;41686
20270020/3;3352;13352;23352;33352;43352
20270020/4;5018;15018;25018;35018;45018
20270020/5;6684;16684;26684;36684;46684
20270020/6;8350;18350;28350;38350;48350
20270020/7;50020;60020;70020;80020;90020
20270020/8;51686;61686;71686;81686;91686
20270020/9;53352;63352;73352;83352;93352
20270020/10;55018;65018;75018;85018;95018
20270020/11;56684;66684;76684;86684;96684
20270020/12;58350;68350;78350;88350;98350
20270021/1;21;10021;20021;30021;40021
20270021/2;1687;11687;21687;31687;41687
20270021/3;3353;13353;23353;33353;43353
20270021/4;5019;15019;25019;35019;45019
20270021/5;6685;16685;26685;36685;46685
20270021/6;8351;18351;28351;38351;48351
20270021/7;50021;60021;70021;80021;90021
20270021/8;51687;61687;71687;81687;91687
20270021/9;53353;63353;73353;83353;93353
20270021/10;55019;65019;75019;85019;95019
20270021/11;56685;66685;76685;86685;96685
20270021/12;58351;68351;78351;88351;98351
20270022/1;22;10022;20022;30022;40022
20270022/2;1688;11688;21688;31688;41688
20270022/3;3354;13354;23354;33354;43354
20270022/4;5020;15020;25020;35020;45020
20270022/5;6686;16686;26686;36686;46686
20270022/6;8352;18352;28352;38352;48352
20270022/7;50022;60022;70022;80022;90022
20270022/8;51688;61688;71688;81688;91688
20270022/9;53354;63354;73354;83354;93354
20270022/10;55020;65020;75020;85020;95020
20270022/11;56686;66686;76686;86686;96686
20270022/12;58352;68352;78352;88352;98352
20270023/1;23;10023;20023;30023;40023
20270023/2;1689;11689;21689;31689;41689
20270023/3;3355;13355;23355;33355;43355
20270023/4;5021;15021;25021;35021;45021
20270023/5;6687;16687;26687;36687;46687
20270023/6;8353;18353;28353;38353;48353
20270023/7;50023;60023;70023;80023;90023
20270023/8;51689;61689;71689;81689;91689
20270023/9;53355;63355;73355;83355;93355
20270023/10;55021;65021;75021;85021;95021
20270023/11;56687;66687;76687;86687;96687
20270023/12;58353;68353;78353;88353;98353
20270024/1;24;10024;20024;30024;40024
20270024/2;1690;11690;21690;31690;41690
20270024/3;3356;13356;23356;33356;43356
20270024/4;5022;15022;25022;35022;45022
20270024/5;6688;16688;26688;36688;46688
20270024/6;8354;18354;28354;38354;48354
20270024/7;50024;60024;70024;80024;90024
20270024/8;51690;61690;71690;81690;91690
20270024/9;53356;63356;73356;83356;93356
20270024/10;55022;65022;75022;85022;95022
20270024/11;56688;66688;76688;86688;96688
20270024/12;58354;68354;78354;88354;98354
20270025/1;25;10025;20025;30025;40025
20270025/2;1691;11691;21691;31691;41691
20270025/3;3357;13357;23357;33357;43357
20270025/4;5023;15023;25023;35023;45023
20270025/5;6689;16689;26689;36689;46689
20270025/6;8355;18355;28355;38355;48355
20270025/7;50025;60025;70025;80025;90025
20270025/8;51691;61691;71691;81691;91691
20270025/9;53357;63357;73357;83357;93357
20270025/10;55023;65023;75023;85023;95023
20270025/11;56689;66689;76689;86689;96689
20270025/12;58355;68355;78355;88355;98355
20270026/1;26;10026;20026;30026;40026
20270026/2;1692;11692;21692;31692;41692
20270026/3;3358;13358;23358;33358;43358
20270026/4;5024;15024;25024;35024;45024
20270026/5;6690;16690;26690;36690;46690
20270026/6;8356;18356;28356;38356;48356
20270026/7;50026;60026;70026;80026;90026
20270026/8;51692;61692;71692;81692;91692
20270026/9;53358;63358;73358;83358;93358
20270026/10;55024;65024;75024;85024;95024
20270026/11;56690;66690;76690;86690;96690
20270026/12;58356;68356;78356;88356;98356
20270027/1;27;10027;20027;30027;40027
20270027/2;1693;11693;21693;31693;41693
20270027/3;3359;13359;23359;33359;43359
20270027/4;5025;15025;25025;35025;45025
20270027/5;6691;16691;26691;36691;46691
20270027/6;8357;18357;28357;38357;48357
20270027/7;50027;60027;70027;80027;90027
20270027/8;51693;61693;71693;81693;91693
20270027/9;53359;63359;73359;83359;93359
20270027/10;55025;65025;75025;85025;95025
20270027/11;56691;66691;76691;86691;96691
20270027/12;58357;68357;78357;88357;98357
20270028/1;28;10028;20028;30028;40028
20270028/2;1694;11694;21694;31694;41694
20270028/3;3360;13360;23360;33360;43360
20270028/4;5026;15026;25026;35026;45026
20270028/5;6692;16692;26692;36692;46692
20270028/6;8358;18358;28358;38358;48358
20270028/7;50028;60028;70028;80028;90028
20270028/8;51694;61694;71694;81694;91694
20270028/9;53360;63360;73360;83360;93360
20270028/10;55026;65026;75026;85026;95026
20270028/11;56692;66692;76692;86692;96692
20270028/12;58358;68358;78358;88358;98358
20270029/1;29;10029;20029;30029;40029
20270029/2;1695;11695;21695;31695;41695
20270029/3;3361;13361;23361;33361;43361
20270029/4;5027;15027;25027;35027;45027
20270029/5;6693;16693;26693;36693;46693
20270029/6;8359;18359;28359;38359;48359
20270029/7;50029;60029;70029;80029;90029
20270029/8;51695;61695;71695;81695;91695
20270029/9;53361;63361;73361;83361;93361
20270029/10;55027;65027;75027;85027;95027
20270029/11;56693;66693;76693;86693;96693
20270029/12;58359;68359;78359;88359;98359
20270030/1;30;10030;20030;30030;40030
20270030/2;1696;11696;21696;31696;41696
20270030/3;3362;13362;23362;33362;43362
20270030/4;5028;15028;25028;35028;45028
20270030/5;6694;16694;26694;36694;46694
20270030/6;8360;18360;28360;38360;48360
20270030/7;50030;60030;70030;80030;90030
20270030/8;51696;61696;71696;81696;91696
20270030/9;53362;63362;73362;83362;93362
20270030/10;55028;65028;75028;85028;95028
20270030/11;56694;66694;76694;86694;96694
20270030/12;58360;68360;78360;88360;98360
20270031/1;31;10031;20031;30031;40031
20270031/2;1697;11697;21697;31697;41697
20270031/3;3363;13363;23363;33363;43363
20270031/4;5029;15029;25029;35029;45029
20270031/5;6695;16695;26695;36695;46695
20270031/6;8361;18361;28361;38361;48361
20270031/7;50031;60031;70031;80031;90031
20270031/8;51697;61697;71697;81697;91697
20270031/9;53363;63363;73363;83363;93363
20270031/10;55029;65029;75029;85029;95029
20270031/11;56695;66695;76695;86695;96695
20270031/12;58361;68361;78361;88361;98361
20270032/1;32;10032;20032;30032;40032
20270032/2;1698;11698;21698;31698;41698
20270032/3;3364;13364;23364;33364;43364
20270032/4;5030;15030;25030;35030;45030
20270032/5;6696;16696;26696;36696;46696
20270032/6;8362;18362;28362;38362;48362
20270032/7;50032;60032;70032;80032;90032
20270032/8;51698;61698;71698;81698;91698
20270032/9;53364;63364;73364;83364;93364
20270032/10;55030;65030;75030;85030;95030
20270032/11;56696;66696;76696;86696;96696
20270032/12;58362;68362;78362;88362;98362
20270033/1;33;10033;20033;30033;40033
20270033/2;1699;11699;21699;31699;41699
20270033/3;3365;13365;23365;33365;43365
20270033/4;5031;15031;25031;35031;45031
20270033/5;6697;16697;26697;36697;46697
20270033/6;8363;18363;28363;38363;48363
20270033/7;50033;60033;70033;80033;90033
20270033/8;51699;61699;71699;81699;91699
20270033/9;53365;63365;73365;83365;93365
20270033/10;55031;65031;75031;85031;95031
20270033/11;56697;66697;76697;86697;96697
20270033/12;58363;68363;78363;88363;98363
20270034/1;34;10034;20034;30034;40034
20270034/2;1700;11700;21700;31700;41700
20270034/3;3366;13366;23366;33366;43366
20270034/4;5032;15032;25032;35032;45032
20270034/5;6698;16698;26698;36698;46698
20270034/6;8364;18364;28364;38364;48364
20270034/7;50034;60034;70034;80034;90034
20270034/8;51700;61700;71700;81700;91700
20270034/9;53366;63366;73366;83366;93366
20270034/10;55032;65032;75032;85032;95032
20270034/11;56698;66698;76698;86698;96698
20270034/12;58364;68364;78364;88364;98364
20270035/1;35;10035;20035;30035;40035
20270035/2;1701;11701;21701;31701;41701
20270035/3;3367;13367;23367;33367;43367
20270035/4;5033;15033;25033;35033;45033
20270035/5;6699;16699;26699;36699;46699
20270035/6;8365;18365;28365;38365;48365
20270035/7;50035;60035;70035;80035;90035
20270035/8;51701;61701;71701;81701;91701
20270035/9;53367;63367;73367;83367;93367
20270035/10;55033;65033;75033;85033;95033
20270035/11;56699;66699;76699;86699;96699
20270035/12;58365;68365;78365;88365;98365
20270036/1;36;10036;20036;30036;40036
20270036/2;1702;11702;21702;31702;41702
20270036/3;3368;13368;23368;33368;43368
20270036/4;5034;15034;25034;35034;45034
20270036/5;6700;16700;26700;36700;46700
20270036/6;8366;18366;28366;38366;48366
20270036/7;50036;60036;70036;80036;90036
20270036/8;51702;61702;71702;81702;91702
20270036/9;53368;63368;73368;83368;93368
20270036/10;55034;65034;75034;85034;95034
20270036/11;56700;66700;76700;86700;96700
20270036/12;58366;68366;78366;88366;98366
20270037/1;37;10037;20037;30037;40037
20270037/2;1703;11703;21703;31703;41703
20270037/3;3369;13369;23369;33369;43369
20270037/4;5035;15035;25035;35035;45035
20270037/5;6701;16701;26701;36701;46701
20270037/6;8367;18367;28367;38367;48367
20270037/7;50037;60037;70037;80037;90037
20270037/8;51703;61703;71703;81703;91703
20270037/9;53369;63369;73369;83369;93369
20270037/10;55035;65035;75035;85035;95035
20270037/11;56701;66701;76701;86701;96701
20270037/12;58367;68367;78367;88367;98367
20270038/1;38;10038;20038;30038;40038
20270038/2;1704;11704;21704;31704;41704
20270038/3;3370;13370;23370;33370;43370
20270038/4;5036;15036;25036;35036;45036
20270038/5;6702;16702;26702;36702;46702
20270038/6;8368;18368;28368;38368;48368
20270038/7;50038;60038;70038;80038;90038
20270038/8;51704;61704;71704;81704;91704
20270038/9;53370;63370;73370;83370;93370
20270038/10;55036;65036;75036;85036;95036
20270038/11;56702;66702;76702;86702;96702
20270038/12;58368;68368;78368;88368;98368
20270039/1;39;10039;20039;30039;40039
20270039/2;1705;11705;21705;31705;41705
20270039/3;3371;13371;23371;33371;43371
20270039/4;5037;15037;25037;35037;45037
20270039/5;6703;16703;26703;36703;46703
20270039/6;8369;18369;28369;38369;48369
20270039/7;50039;60039;70039;80039;90039
20270039/8;51705;61705;71705;81705;91705
20270039/9;53371;63371;73371;83371;93371
20270039/10;55037;65037;75037;85037;95037
20270039/11;56703;66703;76703;86703;96703
20270039/12;58369;68369;78369;88369;98369
20270040/1;40;10040;20040;30040;40040
20270040/2;1706;11706;21706;31706;41706
20270040/3;3372;13372;23372;33372;43372
20270040/4;5038;15038;25038;35038;45038
20270040/5;6704;16704;26704;36704;46704
20270040/6;8370;18370;28370;38370;48370
20270040/7;50040;60040;70040;80040;90040
20270040/8;51706;61706;71706;81706;91706
20270040/9;53372;63372;73372;83372;93372
20270040/10;55038;65038;75038;85038;95038
20270040/11;56704;66704;76704;86704;96704
20270040/12;58370;68370;78370;88370;98370
20270041/1;41;10041;20041;30041;40041
20270041/2;1707;11707;21707;31707;41707
20270041/3;3373;13373;23373;33373;43373
20270041/4;5039;15039;25039;35039;45039
20270041/5;6705;16705;26705;36705;46705
20270041/6;8371;18371;28371;38371;48371
20270041/7;50041;60041;70041;80041;90041
20270041/8;51707;61707;71707;81707;91707
20270041/9;53373;63373;73373;83373;93373
20270041/10;55039;65039;75039;85039;95039
20270041/11;56705;66705;76705;86705;96705
20270041/12;58371;68371;78371;88371;98371
20270042/1;42;10042;20042;30042;40042
20270042/2;1708;11708;21708;31708;41708
20270042/3;3374;13374;23374;33374;43374
20270042/4;5040;15040;25040;35040;45040
20270042/5;6706;16706;26706;36706;46706
20270042/6;8372;18372;28372;38372;48372
20270042/7;50042;60042;70042;80042;90042
20270042/8;51708;61708;71708;81708;91708
20270042/9;53374;63374;73374;83374;93374
20270042/10;55040;65040;75040;85040;95040
20270042/11;56706;66706;76706;86706;96706
20270042/12;58372;68372;78372;88372;98372
20270043/1;43;10043;20043;30043;40043
20270043/2;1709;11709;21709;31709;41709
20270043/3;3375;13375;23375;33375;43375
20270043/4;5041;15041;25041;35041;45041
20270043/5;6707;16707;26707;36707;46707
20270043/6;8373;18373;28373;38373;48373
20270043/7;50043;60043;70043;80043;90043
20270043/8;51709;61709;71709;81709;91709
20270043/9;53375;63375;73375;83375;93375
20270043/10;55041;65041;75041;85041;95041
20270043/11;56707;66707;76707;86707;96707
20270043/12;58373;68373;78373;88373;98373
20270044/1;44;10044;20044;30044;40044
20270044/2;1710;11710;21710;31710;41710
20270044/3;3376;13376;23376;33376;43376
20270044/4;5042;15042;25042;35042;45042
20270044/5;6708;16708;26708;36708;46708
20270044/6;8374;18374;28374;38374;48374
20270044/7;50044;60044;70044;80044;90044
20270044/8;51710;61710;71710;81710;91710
20270044/9;53376;63376;73376;83376;93376
20270044/10;55042;65042;75042;85042;95042
20270044/11;56708;66708;76708;86708;96708
20270044/12;58374;68374;78374;88374;98374
20270045/1;45;10045;20045;30045;40045
20270045/2;1711;11711;21711;31711;41711
20270045/3;3377;13377;23377;33377;43377
20270045/4;5043;15043;25043;35043;45043
20270045/5;6709;16709;26709;36709;46709
20270045/6;8375;18375;28375;38375;48375
20270045/7;50045;60045;70045;80045;90045
20270045/8;51711;61711;71711;81711;91711
20270045/9;53377;63377;73377;83377;93377
20270045/10;55043;65043;75043;85043;95043
20270045/11;56709;66709;76709;86709;96709
20270045/12;58375;68375;78375;88375;98375
20270046/1;46;10046;20046;30046;40046
20270046/2;1712;11712;21712;31712;41712
20270046/3;3378;13378;23378;33378;43378
20270046/4;5044;15044;25044;35044;45044
20270046/5;6710;16710;26710;36710;46710
20270046/6;8376;18376;28376;38376;48376
20270046/7;50046;60046;70046;80046;90046
20270046/8;51712;61712;71712;81712;91712
20270046/9;53378;63378;73378;83378;93378
20270046/10;55044;65044;75044;85044;95044
20270046/11;56710;66710;76710;86710;96710
20270046/12;58376;68376;78376;88376;98376
20270047/1;47;10047;20047;30047;40047
20270047/2;1713;11713;21713;31713;41713
20270047/3;3379;13379;23379;33379;43379
20270047/4;5045;15045;25045;35045;45045
20270047/5;6711;16711;26711;36711;46711
20270047/6;8377;18377;28377;38377;48377
20270047/7;50047;60047;70047;80047;90047
20270047/8;51713;61713;71713;81713;91713
20270047/9;53379;63379;73379;83379;93379
20270047/10;55045;65045;75045;85045;95045
20270047/11;56711;66711;76711;86711;96711
20270047/12;58377;68377;78377;88377;98377
20270048/1;48;10048;20048;30048;40048
20270048/2;1714;11714;21714;31714;41714
20270048/3;3380;13380;23380;33380;43380
20270048/4;5046;15046;25046;35046;45046
20270048/5;6712;16712;26712;36712;46712
20270048/6;8378;18378;28378;38378;48378
20270048/7;50048;60048;70048;80048;90048
20270048/8;51714;61714;71714;81714;91714
20270048/9;53380;63380;73380;83380;93380
20270048/10;55046;65046;75046;85046;95046
20270048/11;56712;66712;76712;86712;96712
20270048/12;58378;68378;78378;88378;98378
20270049/1;49;10049;20049;30049;40049
20270049/2;1715;11715;21715;31715;41715
20270049/3;3381;13381;23381;33381;43381
20270049/4;5047;15047;25047;35047;45047
20270049/5;6713;16713;26713;36713;46713
20270049/6;8379;18379;28379;38379;48379
20270049/7;50049;60049;70049;80049;90049
20270049/8;51715;61715;71715;81715;91715
20270049/9;53381;63381;73381;83381;93381
20270049/10;55047;65047;75047;85047;95047
20270049/11;56713;66713;76713;86713;96713
20270049/12;58379;68379;78379;88379;98379
20270050/1;50;10050;20050;30050;40050
20270050/2;1716;11716;21716;31716;41716
20270050/3;3382;13382;23382;33382;43382
20270050/4;5048;15048;25048;35048;45048
20270050/5;6714;16714;26714;36714;46714
20270050/6;8380;18380;28380;38380;48380
20270050/7;50050;60050;70050;80050;90050
20270050/8;51716;61716;71716;81716;91716
20270050/9;53382;63382;73382;83382;93382
20270050/10;55048;65048;75048;85048;95048
20270050/11;56714;66714;76714;86714;96714
20270050/12;58380;68380;78380;88380;98380
20270051/1;51;10051;20051;30051;40051
20270051/2;1717;11717;21717;31717;41717
20270051/3;3383;13383;23383;33383;43383
20270051/4;5049;15049;25049;35049;45049
20270051/5;6715;16715;26715;36715;46715
20270051/6;8381;18381;28381;38381;48381
20270051/7;50051;60051;70051;80051;90051
20270051/8;51717;61717;71717;81717;91717
20270051/9;53383;63383;73383;83383;93383
20270051/10;55049;65049;75049;85049;95049
20270051/11;56715;66715;76715;86715;96715
20270051/12;58381;68381;78381;88381;98381
20270052/1;52;10052;20052;30052;40052
20270052/2;1718;11718;21718;31718;41718
20270052/3;3384;13384;23384;33384;43384
20270052/4;5050;15050;25050;35050;45050
20270052/5;6716;16716;26716;36716;46716
20270052/6;8382;18382;28382;38382;48382
20270052/7;50052;60052;70052;80052;90052
20270052/8;51718;61718;71718;81718;91718
20270052/9;53384;63384;73384;83384;93384
20270052/10;55050;65050;75050;85050;95050
20270052/11;56716;66716;76716;86716;96716
20270052/12;58382;68382;78382;88382;98382
20270053/1;53;10053;20053;30053;40053
20270053/2;1719;11719;21719;31719;41719
20270053/3;3385;13385;23385;33385;43385
20270053/4;5051;15051;25051;35051;45051
20270053/5;6717;16717;26717;36717;46717
20270053/6;8383;18383;28383;38383;48383
20270053/7;50053;60053;70053;80053;90053
20270053/8;51719;61719;71719;81719;91719
20270053/9;53385;63385;73385;83385;93385
20270053/10;55051;65051;75051;85051;95051
20270053/11;56717;66717;76717;86717;96717
20270053/12;58383;68383;78383;88383;98383
20270054/1;54;10054;20054;30054;40054
20270054/2;1720;11720;21720;31720;41720
20270054/3;3386;13386;23386;33386;43386
20270054/4;5052;15052;25052;35052;45052
20270054/5;6718;16718;26718;36718;46718
20270054/6;8384;18384;28384;38384;48384
20270054/7;50054;60054;70054;80054;90054
20270054/8;51720;61720;71720;81720;91720
20270054/9;53386;63386;73386;83386;93386
20270054/10;55052;65052;75052;85052;95052
20270054/11;56718;66718;76718;86718;96718
20270054/12;58384;68384;78384;88384;98384
20270055/1;55;10055;20055;30055;40055
20270055/2;1721;11721;21721;31721;41721
20270055/3;3387;13387;23387;33387;43387
20270055/4;5053;15053;25053;35053;45053
20270055/5;6719;16719;26719;36719;46719
20270055/6;8385;18385;28385;38385;48385
20270055/7;50055;60055;70055;80055;90055
20270055/8;51721;61721;71721;81721;91721
20270055/9;53387;63387;73387;83387;93387
20270055/10;55053;65053;75053;85053;95053
20270055/11;56719;66719;76719;86719;96719
20270055/12;58385;68385;78385;88385;98385
20270056/1;56;10056;20056;30056;40056
20270056/2;1722;11722;21722;31722;41722
20270056/3;3388;13388;23388;33388;43388
20270056/4;5054;15054;25054;35054;45054
20270056/5;6720;16720;26720;36720;46720
20270056/6;8386;18386;28386;38386;48386
20270056/7;50056;60056;70056;80056;90056
20270056/8;51722;61722;71722;81722;91722
